Province/State,Country/Region,Lat,Long,4/20/20
Colorado,US,39.95998787,-105.0566324,101
Colorado,US,38.74745778,-106.19265729999998,38
Colorado,US,39.68864463,-105.6463118,11
Colorado,US,37.27732493,-105.4276548,3
Colorado,US,38.32608609,-103.7844965,2
Colorado,US,38.10883162,-105.3683478,2
Colorado,US,38.86246243,-107.8631342,22
Colorado,US,39.76018276,-104.8725695,1784
Colorado,US,39.33133796,-104.930001,368
Colorado,US,39.62754308,-106.6933637,485
Colorado,US,39.28656773,-104.1358721,23
Colorado,US,38.83240149,-104.5251411,731
Colorado,US,38.47362326,-105.4399667,10
Colorado,US,39.59921777,-107.902708,70
Colorado,US,39.85646523,-105.5252597,1
Colorado,US,40.10603347,-106.1178042,4
Colorado,US,38.66611652,-107.0320729,114
Colorado,US,37.82247444,-107.3004345,3
Colorado,US,37.68473101,-104.9612585,1
Colorado,US,39.58635604,-105.2517692,957
Colorado,US,39.30497777,-102.6022199,18
Colorado,US,39.20278823,-106.3555697,8
Colorado,US,37.28632032,-107.8429014,52
Colorado,US,40.66671597,-105.4625784,239
Colorado,US,37.3153406,-104.0376458,3
Colorado,US,38.98749519,-103.5136649,3
Colorado,US,40.7249637,-103.110817,17
Colorado,US,39.01787888,-108.469799,35
Colorado,US,37.66954283,-106.9281698,2
Colorado,US,40.61810999,-108.2070876,4
Colorado,US,37.33859579,-108.5958857,13
Colorado,US,38.40214114,-108.26390220000002,77
Colorado,US,40.26279810000001,-103.8093302,157
Colorado,US,37.9014485,-103.7173385,6
Colorado,US,38.14717457,-107.7675136,5
Colorado,US,39.120926,-105.7182065,6
Colorado,US,40.59414277,-102.3577703,5
Colorado,US,39.21720112,-106.9310027,57
Colorado,US,37.95544985,-102.3926052,1
Colorado,US,38.17359144,-104.5127437,87
Colorado,US,39.97913541,-108.2179009,1
Colorado,US,37.5836865,-106.3847838,7
Colorado,US,40.48596505,-106.9905548,49
Colorado,US,38.08054629,-106.282466,3
Colorado,US,38.00450883,-108.4020725,15
Colorado,US,39.63803232,-106.1150762,93
Colorado,US,38.88133511,-105.1614893,24
Colorado,US,39.97015535,-103.202587,6
Colorado,US,40.55499405,-104.3929621,1063
Colorado,US,40.00346839,-102.4258673,3
Connecticut,US,41.26809896,-73.3881171,8320
Connecticut,US,41.80283011,-72.73103891,3823
Connecticut,US,41.7937534,-73.2451475,639
Connecticut,US,41.45949668,-72.53714864,484
Connecticut,US,41.4080325,-72.93620426,5272
Connecticut,US,41.48896435,-72.10430976,356
Connecticut,US,41.85853803,-72.3308481,299
Connecticut,US,41.82972709,-71.98182316,108
Delaware,US,39.08646628,-75.56884914,430
Delaware,US,39.57992638,-75.64054974,1229
Delaware,US,38.66143781,-75.39031349,1055
District of Columbia,US,38.90417773,-77.01655992,2927
Florida,US,29.67866525,-82.35928158,218
Florida,US,30.33060121,-82.28467476,17
Florida,US,30.26548745,-85.62122584,57
Florida,US,29.95079741,-82.16611613,42
Florida,US,28.29409504,-80.73091022,218
Florida,US,26.15184651,-80.48725556,4078
Florida,US,30.40666734,-85.19394153,6
Florida,US,26.90131002,-81.92949121,139
Florida,US,28.84804315,-82.47614748,86
Florida,US,29.98319144,-81.85609986,249
Florida,US,26.11091986,-81.34687065,470
Florida,US,30.22509788,-82.62160164,40
Florida,US,27.18677893,-81.80941373,24
Florida,US,29.60631086,-83.15724673,4
Florida,US,30.33225875,-81.66976468,896
